get headers list|public java.util.List<com.google.privacy.dlp.v2.FieldId> () { return headers_; }
decode|public static String (String rot, int offset, boolean isDecodeNumber) { final int len = rot.length(); final char[] chars = new char[len]; for (int i = 0; i < len; i++) { chars[i] = decodeChar(rot.charAt(i), offset, isDecodeNumber); } return new String(chars); }
add token|@Override public boolean (T element) { boolean ret = false; T oldElement = vocabulary.putIfAbsent(element.getStorageId(), element); if (oldElement == null) { //putIfAbsent added our element if (element.getLabel() != null) { extendedVocabulary.put(element.getLabel(), element); } oldElement = element; ret = true; } else { oldElement.incrementSequencesCount(element.getSequencesCount()); oldElement.increaseElementFrequency((int) element.getElementFrequency()); } totalWordCount.addAndGet((long) oldElement.getElementFrequency()); return ret; }
clear|public void () { weightParams.clear(); biasParams.clear(); paramsList = null; weightParamsList = null; biasParamsList = null; }
is event stream|public boolean () { boolean isEventStream = false; if (!getResponseHeader().isEmpty()) { isEventStream = getResponseHeader().hasContentType("text/event-stream"); } else { // response not available // is request for event-stream? String acceptHeader = getRequestHeader().getHeader("Accept"); if (acceptHeader != null && acceptHeader.equals("text/event-stream")) { // request is for an SSE stream isEventStream = true; } } return isEventStream; }
start|void () { Runnable r; for (int i = 0; i < threadCount; i++) { r = null; switch(config.getPayloadConfig().getPayloadCase()) { case SIMPLE_PARAMS: { if (config.getClientType() == Control.ClientType.SYNC_CLIENT) { if (config.getRpcType() == Control.RpcType.UNARY) { r = new BlockingUnaryWorker(blockingStubs[i % blockingStubs.length]); } } else if (config.getClientType() == Control.ClientType.ASYNC_CLIENT) { if (config.getRpcType() == Control.RpcType.UNARY) { r = new AsyncUnaryWorker(asyncStubs[i % asyncStubs.length]); } else if (config.getRpcType() == Control.RpcType.STREAMING) { r = new AsyncPingPongWorker(asyncStubs[i % asyncStubs.length]); } } break; } case BYTEBUF_PARAMS: { if (config.getClientType() == Control.ClientType.SYNC_CLIENT) { if (config.getRpcType() == Control.RpcType.UNARY) { r = new GenericBlockingUnaryWorker(channels[i % channels.length]); } } else if (config.getClientType() == Control.ClientType.ASYNC_CLIENT) { if (config.getRpcType() == Control.RpcType.UNARY) { r = new GenericAsyncUnaryWorker(channels[i % channels.length]); } else if (config.getRpcType() == Control.RpcType.STREAMING) { r = new GenericAsyncPingPongWorker(channels[i % channels.length]); } } break; } default: { throw Status.UNIMPLEMENTED.withDescription("Unknown payload case " + config.getPayloadConfig().getPayloadCase().name()).asRuntimeException(); } } if (r == null) { throw new IllegalStateException(config.getRpcType().name() + " not supported for client type " + config.getClientType()); } fixedThreadPool.execute(r); } if (osBean != null) { lastMarkCpuTime = osBean.getProcessCpuTime(); } }
press text|public static void (Image srcImage, File destFile, String pressText, Color color, Font font, int x, int y, float alpha) throws IORuntimeException { write(pressText(srcImage, pressText, color, font, x, y, alpha), destFile); }
send response|public static CompletableFuture<Void> (@Nonnull ChannelHandlerContext channelHandlerContext, boolean keepAlive, @Nonnull String message, @Nonnull HttpResponseStatus statusCode, @Nonnull Map<String, String> headers) { HttpResponse response = new DefaultHttpResponse(HTTP_1_1, statusCode); response.headers().set(CONTENT_TYPE, RestConstants.REST_CONTENT_TYPE); for (Map.Entry<String, String> headerEntry : headers.entrySet()) { response.headers().set(headerEntry.getKey(), headerEntry.getValue()); } if (keepAlive) { response.headers().set(CONNECTION, HttpHeaders.Values.KEEP_ALIVE); } byte[] buf = message.getBytes(ConfigConstants.DEFAULT_CHARSET); ByteBuf b = Unpooled.copiedBuffer(buf); HttpHeaders.setContentLength(response, buf.length); // write the initial line and the header. channelHandlerContext.write(response); channelHandlerContext.write(b); ChannelFuture lastContentFuture = channelHandlerContext.writeAndFlush(LastHttpContent.EMPTY_LAST_CONTENT); // close the connection, if no keep-alive is needed if (!keepAlive) { lastContentFuture.addListener(ChannelFutureListener.CLOSE); } return toCompletableFuture(lastContentFuture); }
add broadcast set for scatter function|public void (String name, DataSet<?> data) { this.bcVarsScatter.add(new Tuple2<>(name, data)); }
list annotation processors before ours|@SuppressWarnings("unused") private String () { try { Object discoveredProcessors = javacProcessingEnvironment_discoveredProcs.get(this.javacProcessingEnv); ArrayList<?> states = (ArrayList<?>) discoveredProcessors_procStateList.get(discoveredProcessors); if (states == null || states.isEmpty()) return null; if (states.size() == 1) return processorState_processor.get(states.get(0)).getClass().getName(); int idx = 0; StringBuilder out = new StringBuilder(); for (Object processState : states) { idx++; String name = processorState_processor.get(processState).getClass().getName(); if (out.length() > 0) out.append(", "); out.append("[").append(idx).append("] ").append(name); } return out.toString(); } catch (Exception e) { return null; } }
truncate vocabulary|public void (int threshold) { logger.debug("Truncating vocabulary to minWordFrequency: [" + threshold + "]"); Set<String> keyset = vocabulary.keySet(); for (String word : keyset) { VocabularyWord vw = vocabulary.get(word); // please note: we're not applying threshold to SPECIAL words if (!vw.isSpecial() && vw.getCount() < threshold) { vocabulary.remove(word); if (vw.getHuffmanNode() != null) idxMap.remove(vw.getHuffmanNode().getIdx()); } } }
remove bottom separators|public static void (JPopupMenu popupMenu) { int indexLastComponent = popupMenu.getComponentCount() - 1; while (indexLastComponent >= 0 && isPopupMenuSeparator(popupMenu.getComponent(indexLastComponent))) { popupMenu.remove(indexLastComponent); indexLastComponent -= 1; } }
append string|public static File (String content, File file, String charset) throws IORuntimeException { return FileWriter.create(file, CharsetUtil.charset(charset)).append(content); }
skip one line|private boolean () { if (!undecodedChunk.isReadable()) { return false; } byte nextByte = undecodedChunk.readByte(); if (nextByte == HttpConstants.CR) { if (!undecodedChunk.isReadable()) { undecodedChunk.readerIndex(undecodedChunk.readerIndex() - 1); return false; } nextByte = undecodedChunk.readByte(); if (nextByte == HttpConstants.LF) { return true; } undecodedChunk.readerIndex(undecodedChunk.readerIndex() - 2); return false; } if (nextByte == HttpConstants.LF) { return true; } undecodedChunk.readerIndex(undecodedChunk.readerIndex() - 1); return false; }
add output data|public TaskResult (String key, Object value) { this.outputData.put(key, value); return this; }
close safety net and guarded resources for thread|@Internal public static void () { SafetyNetCloseableRegistry registry = REGISTRIES.get(); if (null != registry) { REGISTRIES.remove(); IOUtils.closeQuietly(registry); } }
is null|public boolean (int index) { Object value = opt(index); return value == null || value == JSONObject.NULL; }
transport trailers received|protected void (Metadata trailers) { Preconditions.checkNotNull(trailers, "trailers"); if (transportError == null && !headersReceived) { transportError = validateInitialMetadata(trailers); if (transportError != null) { transportErrorMetadata = trailers; } } if (transportError != null) { transportError = transportError.augmentDescription("trailers: " + trailers); http2ProcessingFailed(transportError, false, transportErrorMetadata); } else { Status status = statusFromTrailers(trailers); stripTransportDetails(trailers); inboundTrailersReceived(trailers, status); } }
notify persistent connection listener|private boolean (HttpMessage httpMessage, Socket inSocket, ZapGetMethod method) { boolean keepSocketOpen = false; PersistentConnectionListener listener = null; List<PersistentConnectionListener> listenerList = parentServer.getPersistentConnectionListenerList(); for (int i = 0; i < listenerList.size(); i++) { listener = listenerList.get(i); try { if (listener.onHandshakeResponse(httpMessage, inSocket, method)) { // inform as long as one listener wishes to overtake the connection keepSocketOpen = true; break; } } catch (Exception e) { log.error("An error occurred while notifying listener:", e); } } return keepSocketOpen; }
get jwt from authorization|public static String (String authorization) { String jwt = null; if (authorization != null) { String[] parts = authorization.split(" "); if (parts.length == 2) { String scheme = parts[0]; String credentials = parts[1]; Pattern pattern = Pattern.compile("^Bearer$", Pattern.CASE_INSENSITIVE); if (pattern.matcher(scheme).matches()) { jwt = credentials; } } } return jwt; }
read string|public static String (URL url, String charset) throws IORuntimeException { if (url == null) { throw new NullPointerException("Empty url provided!"); } InputStream in = null; try { in = url.openStream(); return IoUtil.read(in, charset); } catch (IOException e) { throw new IORuntimeException(e); } finally { IoUtil.close(in); } }
create flow variable|public FlowVariable (final Flow flow, final String id, final Class type) { val opt = Arrays.stream(flow.getVariables()).filter( v -> v.getName().equalsIgnoreCase(id)).findFirst(); if (opt.isPresent()) { return opt.get(); } val flowVar = new FlowVariable(id, new BeanFactoryVariableValueFactory(type, applicationContext.getAutowireCapableBeanFactory())); flow.addVariable(flowVar); return flowVar; }
bind|@NonNull @UiThread public static Uner bind(@NonNull Object target, @NonNull View source) { Class<?> targetClass = target.getClass(); if (debug) Log.d(TAG, "Looking up binding for " + targetClass.getName()); Constructor<? extends Unbinder> constructor = findBindingConstructorForClass(targetClass); if (constructor == null) { return Unbinder.EMPTY; } //noinspection TryWithIdenticalCatches Resolves to API 19+ only type. try { return constructor.newInstance(target, source); } catch (IllegalAccessException e) { throw new RuntimeException("Unable to invoke " + constructor, e); } catch (InstantiationException e) { throw new RuntimeException("Unable to invoke " + constructor, e); } catch (InvocationTargetException e) { Throwable cause = e.getCause(); if (cause instanceof RuntimeException) { throw (RuntimeException) cause; } if (cause instanceof Error) { throw (Error) cause; } throw new RuntimeException("Unable to create binding instance.", cause); } }
authenticate|public Principal (List<String> authHeader) throws AuthException { if (isAuthEnabled()) { String credentials = parseCredentials(authHeader); return pravegaAuthManager.authenticate(credentials); } return null; }
get int|public final int (final int pos) { final int position = origin + pos; if (pos + 3 >= limit || pos < 0) throw new IllegalArgumentException("limit excceed: " + (pos < 0 ? pos : (pos + 3))); byte[] buf = buffer; return (0xff & buf[position]) | ((0xff & buf[position + 1]) << 8) | ((0xff & buf[position + 2]) << 16) | ((buf[position + 3]) << 24); }
of|public static RegionOperationId (RegionId regionId, String operation) { return new RegionOperationId(regionId.getProject(), regionId.getRegion(), operation); }
expire after update|long (Node<K, V> node, @Nullable K key, @Nullable V value, Expiry<K, V> expiry, long now) { if (expiresVariable() && (key != null) && (value != null)) { long currentDuration = Math.max(1, node.getVariableTime() - now); long duration = expiry.expireAfterUpdate(key, value, now, currentDuration); return isAsync ? (now + duration) : (now + Math.min(duration, MAXIMUM_EXPIRY)); } return 0L; }
get servo monitors|private List<Monitor<?>> () { List<Monitor<?>> monitors = new ArrayList<Monitor<?>>(); monitors.add(new InformationalMetric<String>(MonitorConfig.builder("name").build()) { @Override public String getValue() { return key.name(); } }); // allow Servo and monitor to know exactly at what point in time these stats are for so they can be plotted accurately monitors.add(new GaugeMetric(MonitorConfig.builder("currentTime").withTag(DataSourceLevel.DEBUG).build()) { @Override public Number getValue() { return System.currentTimeMillis(); } }); //collapser event cumulative metrics monitors.add(safelyGetCumulativeMonitor("countRequestsBatched", new Func0<HystrixEventType.Collapser>() { @Override public HystrixEventType.Collapser call() { return HystrixEventType.Collapser.ADDED_TO_BATCH; } })); monitors.add(safelyGetCumulativeMonitor("countBatches", new Func0<HystrixEventType.Collapser>() { @Override public HystrixEventType.Collapser call() { return HystrixEventType.Collapser.BATCH_EXECUTED; } })); monitors.add(safelyGetCumulativeMonitor("countResponsesFromCache", new Func0<HystrixEventType.Collapser>() { @Override public HystrixEventType.Collapser call() { return HystrixEventType.Collapser.RESPONSE_FROM_CACHE; } })); //batch size distribution metrics monitors.add(getBatchSizeMeanMonitor("batchSize_mean")); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_25", 25)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_50", 50)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_75", 75)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_95", 95)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_99", 99)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_99_5", 99.5)); monitors.add(getBatchSizePercentileMonitor("batchSize_percentile_100", 100)); //shard size distribution metrics monitors.add(getShardSizeMeanMonitor("shardSize_mean")); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_25", 25)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_50", 50)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_75", 75)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_95", 95)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_99", 99)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_99_5", 99.5)); monitors.add(getShardSizePercentileMonitor("shardSize_percentile_100", 100)); // properties (so the values can be inspected and monitored) monitors.add(new InformationalMetric<Number>(MonitorConfig.builder("propertyValue_rollingStatisticalWindowInMilliseconds").build()) { @Override public Number getValue() { return properties.metricsRollingStatisticalWindowInMilliseconds().get(); } }); monitors.add(new InformationalMetric<Boolean>(MonitorConfig.builder("propertyValue_requestCacheEnabled").build()) { @Override public Boolean getValue() { return properties.requestCacheEnabled().get(); } }); monitors.add(new InformationalMetric<Number>(MonitorConfig.builder("propertyValue_maxRequestsInBatch").build()) { @Override public Number getValue() { return properties.maxRequestsInBatch().get(); } }); monitors.add(new InformationalMetric<Number>(MonitorConfig.builder("propertyValue_timerDelayInMilliseconds").build()) { @Override public Number getValue() { return properties.timerDelayInMilliseconds().get(); } }); return monitors; }
either|public static <L, R> TypeInformation<Either<L, R>> (TypeInformation<L> leftType, TypeInformation<R> rightType) { return new EitherTypeInfo<>(leftType, rightType); }
feed forward to layer|public List<INDArray> (int layerNum, INDArray input) { try { return ffToLayerActivationsDetached(false, FwdPassType.STANDARD, false, layerNum, input, mask, null, true); } catch (OutOfMemoryError e) { CrashReportingUtil.writeMemoryCrashDump(this, e); throw e; } }
get install state|@Nonnull public InstallState () { if (installState != null) { installStateName = installState.name(); installState = null; } InstallState is = installStateName != null ? InstallState.valueOf(installStateName) : InstallState.UNKNOWN; return is != null ? is : InstallState.UNKNOWN; }
get ulong|public final long (final int pos) { final int position = origin + pos; if (pos + 4 >= limit || pos < 0) throw new IllegalArgumentException("limit excceed: " + (pos < 0 ? pos : (pos + 4))); byte[] buf = buffer; return ((long) (0xff & buf[position])) | ((long) (0xff & buf[position + 1]) << 8) | ((long) (0xff & buf[position + 2]) << 16) | ((long) (0xff & buf[position + 3]) << 24) | ((long) (0xff & buf[position + 4]) << 32); }
get source dirs on windows with drive letters|private List<String> () { List<String> driveLetters = asList("C"); try { driveLetters = OsUtils.getDrivesOnWindows(); } catch (Throwable ignore) { ignore.printStackTrace(); } List<String> sourceDirs = new ArrayList<String>(); for (String letter : driveLetters) { for (String possibleSource : descriptor.getSourceDirsOnWindows()) { if (!isDriveSpecificOnWindows(possibleSource)) { sourceDirs.add(letter + ":" + possibleSource); } } } for (String possibleSource : descriptor.getSourceDirsOnWindows()) { if (isDriveSpecificOnWindows(possibleSource)) sourceDirs.add(possibleSource); } return sourceDirs; }
add header|public MockResponse (String name, Object value) { headers.add(name, String.valueOf(value)); return this; }
log authentication transaction failure event|@EventListener public void (final CasAuthenticationTransactionFailureEvent e) { LOGGER.debug(AUTHN_TX_FAIL_MSG, e.getCredential(), e.getFailures()); }
new ant class loader|public static AntClassLoader (ClassLoader parent, Project project, Path path, boolean parentFirst) { if (subClassToLoad != null) { return (AntClassLoader) ReflectUtil.newInstance(subClassToLoad, CONSTRUCTOR_ARGS, new Object[] { parent, project, path, parentFirst }); } return new AntClassLoader(parent, project, path, parentFirst); }
reserve internal|@Override protected void (int newCapacity) { int oldCapacity = (nulls == 0L) ? 0 : capacity; if (isArray() || type instanceof MapType) { this.lengthData = Platform.reallocateMemory(lengthData, oldCapacity * 4L, newCapacity * 4L); this.offsetData = Platform.reallocateMemory(offsetData, oldCapacity * 4L, newCapacity * 4L); } else if (type instanceof ByteType || type instanceof BooleanType) { this.data = Platform.reallocateMemory(data, oldCapacity, newCapacity); } else if (type instanceof ShortType) { this.data = Platform.reallocateMemory(data, oldCapacity * 2L, newCapacity * 2L); } else if (type instanceof IntegerType || type instanceof FloatType || type instanceof DateType || DecimalType.is32BitDecimalType(type)) { this.data = Platform.reallocateMemory(data, oldCapacity * 4L, newCapacity * 4L); } else if (type instanceof LongType || type instanceof DoubleType || DecimalType.is64BitDecimalType(type) || type instanceof TimestampType) { this.data = Platform.reallocateMemory(data, oldCapacity * 8L, newCapacity * 8L); } else if (childColumns != null) { // Nothing to store. } else { throw new RuntimeException("Unhandled " + type); } this.nulls = Platform.reallocateMemory(nulls, oldCapacity, newCapacity); Platform.setMemory(nulls + oldCapacity, (byte) 0, newCapacity - oldCapacity); capacity = newCapacity; }
decode name|public static String (ByteBuf in) { int position = -1; int checked = 0; final int end = in.writerIndex(); final int readable = in.readableBytes(); // - https://www.ietf.org/rfc/rfc1035.txt , Section 3.1 if (readable == 0) { return ROOT; } final StringBuilder name = new StringBuilder(readable << 1); while (in.isReadable()) { final int len = in.readUnsignedByte(); final boolean pointer = (len & 0xc0) == 0xc0; if (pointer) { if (position == -1) { position = in.readerIndex() + 1; } if (!in.isReadable()) { throw new CorruptedFrameException("truncated pointer in a name"); } final int next = (len & 0x3f) << 8 | in.readUnsignedByte(); if (next >= end) { throw new CorruptedFrameException("name has an out-of-range pointer"); } in.readerIndex(next); // check for loops checked += 2; if (checked >= end) { throw new CorruptedFrameException("name contains a loop."); } } else if (len != 0) { if (!in.isReadable(len)) { throw new CorruptedFrameException("truncated label in a name"); } name.append(in.toString(in.readerIndex(), len, CharsetUtil.UTF_8)).append('.'); in.skipBytes(len); } else { // len == 0 break; } } if (position != -1) { in.readerIndex(position); } if (name.length() == 0) { return ROOT; } if (name.charAt(name.length() - 1) != '.') { name.append('.'); } return name.toString(); }
deserialize|@SneakyThrows public static <T> T (final InputStream inputStream, final Class<T> clazz) { try (val in = new ObjectInputStream(inputStream)) { val obj = in.readObject(); if (!clazz.isAssignableFrom(obj.getClass())) { throw new ClassCastException("Result [" + obj + " is of type " + obj.getClass() + " when we were expecting " + clazz); } return (T) obj; } }
get enum if present|@Nullable public static <T extends Enum<T>> T (final Class<T> enumClass, final String value) { Preconditions.checkNotNull(enumClass, "enumClass"); Preconditions.checkNotNull(value, "value"); for (T enumValue : enumClass.getEnumConstants()) { if (enumValue.name().equals(value)) { return enumValue; } } return null; }
random string fix length|public static String (Random random, int length) { return RandomStringUtils.random(length, 0, 0, true, true, null, random); }
read only|public static <T> Iterator<T> (final Iterator<T> itr) { return new Iterator<T>() { public boolean hasNext() { return itr.hasNext(); } public T next() { return itr.next(); } public void remove() { throw new UnsupportedOperationException(); } }; }
data|void (boolean outFinished, int streamId, Buffer source, boolean flush) { Preconditions.checkNotNull(source, "source"); OkHttpClientStream stream = transport.getStream(streamId); if (stream == null) { // In such case, we just throw away the data. return; } OutboundFlowState state = state(stream); int window = state.writableWindow(); boolean framesAlreadyQueued = state.hasPendingData(); int size = (int) source.size(); if (!framesAlreadyQueued && window >= size) { // Window size is large enough to send entire data frame state.write(source, size, outFinished); } else { // send partial data if (!framesAlreadyQueued && window > 0) { state.write(source, window, false); } // Queue remaining data in the buffer state.enqueue(source, (int) source.size(), outFinished); } if (flush) { flush(); } }
has next|public boolean () { return itr.hasNext(); }
save|public void (OutputStream stream) throws IOException { DataOutputStream out = null; try { out = new DataOutputStream(new BufferedOutputStream(stream)); for (int i = 0; i < _array.length; ++i) { out.writeInt(_array[i]); } } finally { if (out != null) { out.close(); } } }
next|public T () { return itr.next(); }
remove|public void () { throw new UnsupportedOperationException(); }
transform|Action (int act) { if (act == 0) { return ActionFactory.make_shift(); } else if (act < 1 + L) { return ActionFactory.make_left_arc(act - 1); } else if (act < 1 + 2 * L) { return ActionFactory.make_right_arc(act - 1 - L); } else { System.err.printf("unknown transition in transform(int): %d", act); } return new Action(); }
from config|public static ScopeFormats (Configuration config) { String jmFormat = config.getString(MetricOptions.SCOPE_NAMING_JM); String jmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_JM_JOB); String tmFormat = config.getString(MetricOptions.SCOPE_NAMING_TM); String tmJobFormat = config.getString(MetricOptions.SCOPE_NAMING_TM_JOB); String taskFormat = config.getString(MetricOptions.SCOPE_NAMING_TASK); String operatorFormat = config.getString(MetricOptions.SCOPE_NAMING_OPERATOR); return new ScopeFormats(jmFormat, jmJobFormat, tmFormat, tmJobFormat, taskFormat, operatorFormat); }
get oss audit|private static Audit (JSONArray jsonArray, JSONArray global) { LOGGER.info("NFRR Audit Collector auditing LIBRARY_POLICY"); Audit audit = new Audit(); audit.setType(AuditType.LIBRARY_POLICY); Audit basicAudit; if ((basicAudit = doBasicAuditCheck(jsonArray, global, AuditType.LIBRARY_POLICY)) != null) { return basicAudit; } audit.setAuditStatus(AuditStatus.OK); audit.setDataStatus(DataStatus.OK); for (Object o : jsonArray) { JSONArray auditJO = (JSONArray) ((JSONObject) o).get(STR_AUDITSTATUSES); Optional<Object> lpOptObj = Optional.ofNullable(((JSONObject) o).get(STR_LIBRARYPOLICYRESULT)); lpOptObj.ifPresent( lpObj -> audit.getUrl().add(((JSONObject) lpOptObj.get()).get(STR_REPORTURL).toString())); auditJO.stream().map( aj -> audit.getAuditStatusCodes().add((String) aj)); boolean ok = false; for (Object s : auditJO) { String status = (String) s; audit.getAuditStatusCodes().add(status); if (LibraryPolicyAuditStatus.LIBRARY_POLICY_AUDIT_OK.name().equalsIgnoreCase(status)) { ok = true; break; } if (LibraryPolicyAuditStatus.LIBRARY_POLICY_AUDIT_MISSING.name().equalsIgnoreCase(status)) { audit.setAuditStatus(AuditStatus.NA); audit.setDataStatus(DataStatus.NO_DATA); return audit; } } if (!ok) { audit.setAuditStatus(AuditStatus.FAIL); return audit; } } return audit; }
get read schema|private MessageType (MessageType fileSchema, Path filePath) { RowTypeInfo fileTypeInfo = (RowTypeInfo) ParquetSchemaConverter.fromParquetType(fileSchema); List<Type> types = new ArrayList<>(); for (int i = 0; i < fieldNames.length; ++i) { String readFieldName = fieldNames[i]; TypeInformation<?> readFieldType = fieldTypes[i]; if (fileTypeInfo.getFieldIndex(readFieldName) < 0) { if (!skipWrongSchemaFileSplit) { throw new IllegalArgumentException("Field " + readFieldName + " cannot be found in schema of " + " Parquet file: " + filePath + "."); } else { this.skipThisSplit = true; return fileSchema; } } if (!readFieldType.equals(fileTypeInfo.getTypeAt(readFieldName))) { if (!skipWrongSchemaFileSplit) { throw new IllegalArgumentException("Expecting type " + readFieldType + " for field " + readFieldName + " but found type " + fileTypeInfo.getTypeAt(readFieldName) + " in Parquet file: " + filePath + "."); } else { this.skipThisSplit = true; return fileSchema; } } types.add(fileSchema.getType(readFieldName)); } return new MessageType(fileSchema.getName(), types); }
read blob from id|public byte[] (String bucketName, String blobName, long blobGeneration) { BlobId blobId = BlobId.of(bucketName, blobName, blobGeneration); byte[] content = storage.readAllBytes(blobId); // [END readBlobFromId] return content; }
add|public void (List<BatchCSVRecord> record) { if (records == null) records = new ArrayList<>(); records.add(record); }
synchronize to host|@Override public void (AllocationPoint point) { if (!point.isActualOnHostSide()) { CudaContext context = (CudaContext) allocator.getDeviceContext().getContext(); if (!point.isConstant()) waitTillFinished(point); // if this piece of memory is device-dependant, we'll also issue copyback once if (point.getAllocationStatus() == AllocationStatus.DEVICE && !point.isActualOnHostSide()) { long perfD = PerformanceTracker.getInstance().helperStartTransaction(); if (nativeOps.memcpyAsync(point.getHostPointer(), point.getDevicePointer(), AllocationUtils.getRequiredMemory(point.getShape()), CudaConstants.cudaMemcpyDeviceToHost, context.getSpecialStream()) == 0) throw new IllegalStateException("MemcpyAsync failed: " + point.getShape()); commitTransfer(context.getSpecialStream()); PerformanceTracker.getInstance().helperRegisterTransaction(point.getDeviceId(), perfD, point.getNumberOfBytes(), MemcpyDirection.DEVICE_TO_HOST); } // else log.info("Not [DEVICE] memory, skipping..."); // updating host read timer point.tickHostRead(); //log.info("After sync... isActualOnHostSide: {}", point.isActualOnHostSide()); } // else log.info("Point is actual on host side! " + point.getShape()); }
get server tls finger print|private String () { String fingerPrint = null; Map<String, Object> serverConfig = Config.getInstance().getJsonMapConfigNoCache("server"); Map<String, Object> secretConfig = Config.getInstance().getJsonMapConfigNoCache("secret"); // load keystore here based on server config and secret config String keystoreName = (String) serverConfig.get("keystoreName"); String serverKeystorePass = (String) secretConfig.get("serverKeystorePass"); if (keystoreName != null) { try (InputStream stream = Config.getInstance().getInputStreamFromFile(keystoreName)) { KeyStore loadedKeystore = KeyStore.getInstance("JKS"); loadedKeystore.load(stream, serverKeystorePass.toCharArray()); X509Certificate cert = (X509Certificate) loadedKeystore.getCertificate("server"); if (cert != null) { fingerPrint = FingerPrintUtil.getCertFingerPrint(cert); } else { logger.error("Unable to find the certificate with alias name as server in the keystore"); } } catch (Exception e) { logger.error("Unable to load server keystore ", e); } } return fingerPrint; }
eviction policy|public LocalCachedMapOptions<K, V> (EvictionPolicy evictionPolicy) { if (evictionPolicy == null) { throw new NullPointerException("evictionPolicy can't be null"); } this.evictionPolicy = evictionPolicy; return this; }
initialize|protected void () { this.addActionListener(new java.awt.event.ActionListener() { @Override public void actionPerformed(java.awt.event.ActionEvent e) { log.debug("actionPerformed " + lastInvoker.name() + " " + e.getActionCommand()); try { if (multiSelect) { performActions(getSelectedHistoryReferences()); } else { HistoryReference ref = getSelectedHistoryReference(); if (ref != null) { try { performAction(ref); } catch (Exception e1) { log.error(e1.getMessage(), e1); } } else { log.error("PopupMenuHistoryReference invoker " + lastInvoker + " failed to get history ref"); } } } catch (Exception e2) { log.error(e2.getMessage(), e2); } } }); }
extract peer|@Override public TsiPeer () throws GeneralSecurityException { Preconditions.checkState(!isInProgress(), "Handshake is not complete."); List<TsiPeer.Property<?>> peerProperties = new ArrayList<>(); peerProperties.add(new TsiPeer.StringProperty(TSI_SERVICE_ACCOUNT_PEER_PROPERTY, handshaker.getResult().getPeerIdentity().getServiceAccount())); return new TsiPeer(peerProperties); }
info|public void (CharSequence info) { if (StringUtils.isNotEmpty(info)) { msg.printMessage(Diagnostic.Kind.NOTE, Consts.PREFIX_OF_LOGGER + info); } }
no null elements|public static void (Object[] array, String message) { if (array != null) { for (int i = 0; i < array.length; i++) { if (array[i] == null) { throw new IllegalArgumentException(message); } } } }
reslove dialect class|private Class (String className) throws Exception { if (dialectAliasMap.containsKey(className.toLowerCase())) { return dialectAliasMap.get(className.toLowerCase()); } else { return Class.forName(className); } }
set scan buttons and progress bar states|private void (boolean isStarted, boolean isPaused, boolean allowStartScan) { if (isStarted) { getStartScanButton().setEnabled(false); getPauseScanButton().setEnabled(true); getPauseScanButton().setSelected(isPaused); getStopScanButton().setEnabled(true); getProgressBar().setEnabled(true); } else { getStartScanButton().setEnabled(allowStartScan); getStopScanButton().setEnabled(false); getPauseScanButton().setEnabled(false); getPauseScanButton().setSelected(false); getProgressBar().setEnabled(false); } }
get ext instance|public T (Class[] argTypes, Object[] args) { if (clazz != null) { try { if (singleton) { // 如果是单例 if (instance == null) { synchronized (this) { if (instance == null) { instance = ClassUtils.newInstanceWithArgs(clazz, argTypes, args); } } } // 保留单例 return instance; } else { return ClassUtils.newInstanceWithArgs(clazz, argTypes, args); } } catch (Exception e) { throw new SofaRpcRuntimeException("create " + clazz.getCanonicalName() + " instance error", e); } } throw new SofaRpcRuntimeException("Class of ExtensionClass is null"); }
action performed|@Override public void (java.awt.event.ActionEvent e) { log.debug("actionPerformed " + lastInvoker.name() + " " + e.getActionCommand()); try { if (multiSelect) { performActions(getSelectedHistoryReferences()); } else { HistoryReference ref = getSelectedHistoryReference(); if (ref != null) { try { performAction(ref); } catch (Exception e1) { log.error(e1.getMessage(), e1); } } else { log.error("PopupMenuHistoryReference invoker " + lastInvoker + " failed to get history ref"); } } } catch (Exception e2) { log.error(e2.getMessage(), e2); } }
after|static Deadline (long duration, TimeUnit units, Ticker ticker) { checkNotNull(units, "units"); return new Deadline(ticker, units.toNanos(duration), true); }
or else create|public T (Class<? extends T> type) { Assert.notNull(type, "Type must not be null"); return (this.value != null) ? this.value : BeanUtils.instantiateClass(type); }
get precise free memory|public long (int deviceId) { // we refresh free memory on device val extFree = NativeOpsHolder.getInstance().getDeviceNativeOps().getDeviceFreeMemory(deviceId); return extFree; }
